131.5,170,3
132.5,175,3
134,172,3
134.5,162,6
134.5,170,3
135,168,3
135.5,167,3
135.5,175,3
136.5,174,3
137,159,6
137.5,157,6
138,168,3
138,177,3
138.5,171,3
138.5,175,3
138.5,182,3
139,166,3
139,173,3
139,185,3
139.5,195,22
140,169,3
140,179,3
140.5,184,3
141,160,3
141,185,3
141.5,166,3
141.5,169,3
141.5,193,22
142,173,3
142,174,3
142,175,3
142,177,3
142,194,22
142.5,163,3
142.5,168,3
142.5,181,3
144.5,161,3
144.5,172,3
145,161,3
145,175,3
145.5,171,3
145.5,174,3
145.5,179,3
146,169,3
146,172,3
146,178,3
147,172,3
147,176,3
147,177,3
149,177,3
149.5,180,3
151,160,54
151,176,3
151,179,3
152.5,168,3
152.5,171,3
153,174,3
153,189,60
153.5,170,3
153.5,187,60
154,163,3
154,177,3
154,183,60
154,191,60
154.5,175,3
155,167,3
155,175,3
155,186,60
155,187,60
155.5,158,72
155.5,168,3
155.5,175,3
156,157,72
156,175,3
156,193,60
156.5,187,60
157,162,3
157,168,3
157,170,3
157,180,82
157,190,60
157.5,192,60
158,165,3
158,185,60
158.5,167,3
158.5,173,3
158.5,180,82
159,166,3
159,175,3
159.5,165,3
159.5,166,3
160,161,3
160,167,3
160,174,3
160.5,171,3
160.5,175,3
161.5,165,3
161.5,179,82
162,171,3
162.5,157,3
162.5,161,3
162.5,168,3
162.5,186,105
164,172,3
165,158,3
165,170,3
166,166,3
166.5,167,3
167,164,3
167.5,162,3
169.5,160,3
170,157,3
171,185,115
172,159,3
173.5,168,117
